block,chunks,positions,method,sampler_js,sampler_tv,sampler_support_jaccard,reference_mass_in_candidate_support,mean_candidate_top_p
21,21,63,frozen-joint,0.04889404346394013,0.15850358596810746,0.7532460335687365,0.9569068352381388,0.9649999999999999
22,22,63,same-settings,0.057336854401029765,0.16946479657457936,0.756182722807003,0.9591002024355388,0.95
22,22,63,frozen-mass-global,0.05734517638911567,0.1692411153621617,0.7629293268870612,0.9541110041595641,0.9388144016265869
22,22,63,frozen-temperature,0.05598018152476658,0.16604493280488347,0.7757966251700557,0.9547146894629039,0.95
22,22,63,frozen-top-p,0.05767099991706865,0.16954446953558733,0.7640405117849168,0.9513185994019584,0.9312499999999999
22,22,63,frozen-joint,0.05593950073659745,0.1653982311605461,0.7611774807164198,0.9563068458958278,0.9649999999999999
23,23,63,same-settings,0.04052638548143607,0.1283752541279509,0.785982343253938,0.9649540507604205,0.95
23,23,63,frozen-mass-global,0.04001590831617322,0.12718680728640822,0.8016053919830014,0.9617652798455859,0.9388144016265869
23,23,63,frozen-temperature,0.03998606351004647,0.12687125438380809,0.799181121630392,0.9605750034725855,0.95
23,23,63,frozen-top-p,0.04038340269009553,0.12769791203004027,0.7960081928394253,0.9595821944494096,0.9312499999999999
23,23,63,frozen-joint,0.04069829022230965,0.1284319566533206,0.7734887331926147,0.9634328333158342,0.9649999999999999
24,24,63,same-settings,0.03506515707658042,0.11342107939223449,0.7601960467797233,0.9713417622778151,0.95
24,24,63,frozen-mass-global,0.035701496027676125,0.11358705248742823,0.7692170821710432,0.9635549679635063,0.9388144016265869
24,24,63,frozen-temperature,0.034186755774527906,0.11018582046150215,0.7844590044610144,0.9615887441332378,0.95
24,24,63,frozen-top-p,0.03535813948930434,0.1128131677174852,0.7838976195840599,0.9592747858592442,0.9312499999999999
24,24,63,frozen-joint,0.0332378760231511,0.10791127300924724,0.7850377914830585,0.9671015351537674,0.9649999999999999
25,25,63,same-settings,0.05696430401359168,0.18790151400580293,0.7014361926801992,0.9470249007618616,0.95
25,25,63,frozen-mass-global,0.05814831313632783,0.18831644573855022,0.695564157652939,0.9382041446746342,0.9388144016265869
25,25,63,frozen-temperature,0.058215038747423224,0.18853820023673867,0.7019157209173993,0.936751315518031,0.95
25,25,63,frozen-top-p,0.05811716280581932,0.1878689162669674,0.7031564922083442,0.9316876019750323,0.9312499999999999
25,25,63,frozen-joint,0.057767516800335476,0.18871258474176839,0.7181342118032947,0.9423067333206298,0.9649999999999999
26,26,63,same-settings,0.07038610101869655,0.1967136606367098,0.6901239539741418,0.9472241843976672,0.95
26,26,63,frozen-mass-global,0.0704357694937951,0.19616849618476062,0.7105150882291679,0.9399984713111605,0.9388144016265869
26,26,63,frozen-temperature,0.07107139244631287,0.1961367450477112,0.7055656742896751,0.9374504739802981,0.95
26,26,63,frozen-top-p,0.07075893522668926,0.19605386370999944,0.7075001885419687,0.9360693709717857,0.9312499999999999
26,26,63,frozen-joint,0.07131103172876119,0.19704720794799782,0.7116164537999985,0.9414983588078666,0.9649999999999999
27,27,63,same-settings,0.06153781209067102,0.1888803273202881,0.7048787732557711,0.9539080546015785,0.95
27,27,63,frozen-mass-global,0.06403092075035804,0.1889573870788491,0.699927525300388,0.9295563328833807,0.9388144016265869
27,27,63,frozen-temperature,0.06325650323433654,0.18734596084271157,0.704962052863243,0.9299067637277028,0.95
27,27,63,frozen-top-p,0.06463365815949464,0.1890062718755669,0.7022705539667334,0.9230311361570207,0.9312499999999999
27,27,63,frozen-joint,0.06169656550304757,0.18651359625870273,0.7061728390507384,0.9482885286921546,0.9649999999999999
28,28,63,same-settings,0.055934443471155,0.19124713634687757,0.6803065420155118,0.966426085858118,0.95
28,28,63,frozen-mass-global,0.05574192057755436,0.19030404924636796,0.6934178189595694,0.9601301030507163,0.9388144016265869
28,28,63,frozen-temperature,0.054859570698768255,0.18855565505486632,0.701397942305954,0.9577032176275102,0.95
28,28,63,frozen-top-p,0.05555161935580333,0.18981722322484804,0.7023612811219845,0.9568675642921811,0.9312499999999999
28,28,63,frozen-joint,0.054618906850616135,0.18864803855854367,0.689718596799406,0.9608871747577001,0.9649999999999999
29,29,63,same-settings,0.030881559710010945,0.08731958749038833,0.7911346064530229,0.981042089916411,0.95
29,29,63,frozen-mass-global,0.030418673645712376,0.08567613851101626,0.8170192935931433,0.9779871749499488,0.9388144016265869
29,29,63,frozen-temperature,0.02952151450823756,0.08335805051620045,0.8171546879621413,0.9776541051410493,0.95
29,29,63,frozen-top-p,0.029913777342280522,0.08428031312567848,0.8263167388167387,0.9754083941853235,0.9312499999999999
29,29,63,frozen-joint,0.02902818083511813,0.08266667649149895,0.8036621067776083,0.9802413876094516,0.9649999999999999
30,30,63,same-settings,0.05204422684896383,0.16946116462349892,0.7191475606016808,0.9615636751765296,0.95
30,30,63,frozen-mass-global,0.05148513798993672,0.16775522729943668,0.7528437629295326,0.9553216459259154,0.9388144016265869
30,30,63,frozen-temperature,0.05209635599368041,0.16924508227892812,0.7493588426586199,0.9530191184982421,0.95
30,30,63,frozen-top-p,0.05176728988058924,0.16777478578308272,0.7582456388779311,0.9501206382872567,0.9312499999999999
30,30,63,frozen-joint,0.05235576057355733,0.17038320544515811,0.7246909018126123,0.9565895455224174,0.9649999999999999
31,31,63,same-settings,0.050178020250602876,0.1499389556665269,0.6955107046849138,0.9684160853189135,0.95
31,31,63,frozen-mass-global,0.05004603730649539,0.14832079366204284,0.7012940815930433,0.9615962041748894,0.9388144016265869
31,31,63,frozen-temperature,0.048578769115487204,0.14578106674173522,0.7083481731137635,0.9633152219984267,0.95
31,31,63,frozen-top-p,0.05035832305512731,0.14869234276314577,0.6900563583712633,0.9579245135897682,0.9312499999999999
31,31,63,frozen-joint,0.04875430571551006,0.14654999332768576,0.6842369870288932,0.9645816276943873,0.9649999999999999
