source,trial,calibration_contexts,method,sampling_temperature,kl,js,tv,top1_flip,top10_overlap
controlled:mixed,2,64,temperature+token-bias+PCA,1.3,0.003543209650196541,0.0008836950126362834,0.03293937340427825,0.0975,0.9346666666666666
controlled:mixed,3,64,identity,0.55,0.2673914194899721,0.06468124010343293,0.280059515485468,0.325,0.7770833333333333
controlled:mixed,3,64,identity,0.8,0.16831968537951186,0.040498747991857736,0.22921572195294676,0.325,0.7770833333333333
controlled:mixed,3,64,identity,1.0,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333
controlled:mixed,3,64,identity,1.3,0.06118863787257029,0.01479828141999391,0.13490604964500663,0.325,0.7770833333333333
controlled:mixed,3,64,temperature,0.55,0.22295795644258,0.05145295830349778,0.23816055069117023,0.325,0.7770833333333333
controlled:mixed,3,64,temperature,0.8,0.1235293994933147,0.029467060719834848,0.18561076530171397,0.325,0.7770833333333333
controlled:mixed,3,64,temperature,1.0,0.08059032469982676,0.019484389930466903,0.15098925560983698,0.325,0.7770833333333333
controlled:mixed,3,64,temperature,1.3,0.047222627703321036,0.01155584146048942,0.11584510029344891,0.325,0.7770833333333333
controlled:mixed,3,64,temperature+token-bias,0.55,0.19241578504140705,0.04425472095179761,0.21716706729611446,0.30333333333333334,0.79825
controlled:mixed,3,64,temperature+token-bias,0.8,0.10785751605477963,0.025717201039785028,0.17084189701598687,0.30333333333333334,0.79825
controlled:mixed,3,64,temperature+token-bias,1.0,0.07097950716268361,0.017172561716845336,0.13956212986841834,0.30333333333333334,0.79825
controlled:mixed,3,64,temperature+token-bias,1.3,0.04193148723355997,0.010271825610098177,0.10739803328947146,0.30333333333333334,0.79825
controlled:mixed,3,64,temperature+token-bias+PCA,0.55,0.015940653519391598,0.003990071087934873,0.06625538171659878,0.1025,0.9330833333333334
controlled:mixed,3,64,temperature+token-bias+PCA,0.8,0.009271223068223037,0.0023141198857602116,0.05328172374505216,0.1025,0.9330833333333334
controlled:mixed,3,64,temperature+token-bias+PCA,1.0,0.006048709497677698,0.0015083739832033323,0.043196151450667214,0.1025,0.9330833333333334
controlled:mixed,3,64,temperature+token-bias+PCA,1.3,0.003486749847221399,0.000869712142588406,0.03265909761743566,0.1025,0.9330833333333334
controlled:mixed,4,64,identity,0.55,0.2673914194899721,0.06468124010343293,0.280059515485468,0.325,0.7770833333333333
controlled:mixed,4,64,identity,0.8,0.16831968537951186,0.040498747991857736,0.22921572195294676,0.325,0.7770833333333333
controlled:mixed,4,64,identity,1.0,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333
controlled:mixed,4,64,identity,1.3,0.06118863787257029,0.01479828141999391,0.13490604964500663,0.325,0.7770833333333333
controlled:mixed,4,64,temperature,0.55,0.22294822499892467,0.05146810853294397,0.23824205054970263,0.325,0.7770833333333333
controlled:mixed,4,64,temperature,0.8,0.12354040175380696,0.029473163875417072,0.18565683223520332,0.325,0.7770833333333333
controlled:mixed,4,64,temperature,1.0,0.0805745541567714,0.019481195054153383,0.15099082734921077,0.325,0.7770833333333333
controlled:mixed,4,64,temperature,1.3,0.04718850902790884,0.011547458223817848,0.11580859886535026,0.325,0.7770833333333333
controlled:mixed,4,64,temperature+token-bias,0.55,0.192013965800286,0.044107992259515,0.21674931107296885,0.30583333333333335,0.7989166666666667
controlled:mixed,4,64,temperature+token-bias,0.8,0.1076968425927934,0.025690222182825958,0.1710658919734624,0.30583333333333335,0.7989166666666667
controlled:mixed,4,64,temperature+token-bias,1.0,0.0708673514558938,0.017162042583362524,0.1397444773553067,0.30583333333333335,0.7989166666666667
controlled:mixed,4,64,temperature+token-bias,1.3,0.04183822776681406,0.010259135479572086,0.10741687081473408,0.30583333333333335,0.7989166666666667
controlled:mixed,4,64,temperature+token-bias+PCA,0.55,0.01572046531551895,0.003931421532501032,0.06617721424009297,0.09666666666666666,0.9354166666666667
controlled:mixed,4,64,temperature+token-bias+PCA,0.8,0.00909257060047869,0.002268071366140721,0.05287942879811001,0.09666666666666666,0.9354166666666667
controlled:mixed,4,64,temperature+token-bias+PCA,1.0,0.0059039655493037775,0.0014715987487781846,0.04271335517619668,0.09666666666666666,0.9354166666666667
controlled:mixed,4,64,temperature+token-bias+PCA,1.3,0.0033903591069767503,0.0008454567265375162,0.032255832662487105,0.09666666666666666,0.9354166666666667
micro-lm:Q3,0,64,identity,0.55,0.24443744122982025,0.0512528158724308,0.21966910362243652,0.2565,0.805575
micro-lm:Q3,0,64,identity,0.8,0.16311593353748322,0.03670452535152435,0.20009468495845795,0.2565,0.805575
micro-lm:Q3,0,64,identity,1.0,0.12191928178071976,0.02834969013929367,0.18185050785541534,0.2565,0.805575
micro-lm:Q3,0,64,identity,1.3,0.08147113025188446,0.01949470117688179,0.15426088869571686,0.2565,0.805575
micro-lm:Q3,0,64,temperature,0.55,0.20577985048294067,0.046600036323070526,0.21018542349338531,0.2565,0.805575
micro-lm:Q3,0,64,temperature,0.8,0.1369035392999649,0.032665275037288666,0.1873127818107605,0.2565,0.805575
micro-lm:Q3,0,64,temperature,1.0,0.10348179191350937,0.025146469473838806,0.16879549622535706,0.2565,0.805575
micro-lm:Q3,0,64,temperature,1.3,0.07080257683992386,0.017421845346689224,0.14340081810951233,0.2565,0.805575
micro-lm:Q3,0,64,temperature+token-bias,0.55,0.1466064453125,0.03419158607721329,0.18628451228141785,0.22925,0.8452750000000001
micro-lm:Q3,0,64,temperature+token-bias,0.8,0.09288068860769272,0.02248920500278473,0.16011787950992584,0.22925,0.8452750000000001
micro-lm:Q3,0,64,temperature+token-bias,1.0,0.06836380809545517,0.01676274836063385,0.1411219835281372,0.22925,0.8452750000000001
micro-lm:Q3,0,64,temperature+token-bias,1.3,0.04569373279809952,0.011299566365778446,0.11741728335618973,0.22925,0.8452750000000001
micro-lm:Q3,0,64,temperature+token-bias+PCA,0.55,0.1240357756614685,0.029280560091137886,0.16791875660419464,0.2025,0.8572500000000002
