source,trial,calibration_contexts,method,kl,js,tv,top1_flip,top10_overlap,fitted_scale
controlled:scale,4,64,isotonic,0.002012128500260069,0.0005038498777887632,0.01891466796060362,0.029166666666666667,0.9722500000000001,
controlled:scale,4,64,temperature+token-bias,0.0008720424012177736,0.00021797268934964896,0.016550730881466476,0.03166666666666667,0.9729166666666667,
controlled:scale,4,64,temperature+token-bias+PCA,0.0008819768793112474,0.0002204734952632354,0.016660368402308806,0.03166666666666667,0.9726666666666669,
controlled:mixed,0,2,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,2,temperature,0.08132504630645722,0.019646830370637164,0.1514839861138817,0.325,0.7770833333333333,1.1966998914887481
controlled:mixed,0,2,temperature+rank,0.0818926782235494,0.01974532386863045,0.1520932449412854,0.325,0.7770833333333333,
controlled:mixed,0,2,isotonic,0.12532583776485656,0.02901211283617568,0.18215080721177843,0.555,0.7744166666666668,
controlled:mixed,0,2,temperature+token-bias,0.07861445832865462,0.01902014392080817,0.14833081326907138,0.31916666666666665,0.7821666666666667,
controlled:mixed,0,2,temperature+token-bias+PCA,0.07861445832865462,0.01902014392080817,0.14833081326907138,0.31916666666666665,0.7821666666666667,
controlled:mixed,0,4,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,4,temperature,0.08204463917178718,0.019809593361727537,0.15213481232312503,0.325,0.7770833333333333,1.2074007414834276
controlled:mixed,0,4,temperature+rank,0.081911469861407,0.019759744980734205,0.15204854001751927,0.3283333333333333,0.7770833333333333,
controlled:mixed,0,4,isotonic,0.08978989831173699,0.02169173053003525,0.16034002122402985,0.34,0.7756666666666666,
controlled:mixed,0,4,temperature+token-bias,0.07846177683107337,0.01897621564865115,0.14789373850452064,0.32083333333333336,0.7835833333333333,
controlled:mixed,0,4,temperature+token-bias+PCA,0.06181521605370203,0.015027422115706152,0.130391803903795,0.29833333333333334,0.8061666666666667,
controlled:mixed,0,8,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,8,temperature,0.0819853555308093,0.019796145475361845,0.15207945185130892,0.325,0.7770833333333333,1.206633012693375
controlled:mixed,0,8,temperature+rank,0.08223035184647112,0.019834930631161676,0.15270232660231417,0.3425,0.7751666666666667,
controlled:mixed,0,8,isotonic,0.08516338685873959,0.0205449416453848,0.156064730824249,0.33916666666666667,0.7725833333333334,
controlled:mixed,0,8,temperature+token-bias,0.07891152252185973,0.019108041935893164,0.14799551954657153,0.32083333333333336,0.785,
controlled:mixed,0,8,temperature+token-bias+PCA,0.01571525916334046,0.0039096074084055635,0.06851360958937457,0.16333333333333333,0.8946666666666668,
controlled:mixed,0,16,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,16,temperature,0.08099988022815376,0.019573897783604622,0.15121870551271935,0.325,0.7770833333333333,1.1901865826365172
controlled:mixed,0,16,temperature+rank,0.08078176218955323,0.01949959559380774,0.15112655897631722,0.3275,0.7756666666666666,
controlled:mixed,0,16,isotonic,0.0844949667730532,0.020363779743607542,0.15533751031506698,0.335,0.7729166666666667,
controlled:mixed,0,16,temperature+token-bias,0.07374946560375127,0.017867086088632494,0.14268735827717494,0.3225,0.7935833333333333,
controlled:mixed,0,16,temperature+token-bias+PCA,0.01043734702140161,0.0025966878115725837,0.05630657344028729,0.13333333333333333,0.9138333333333335,
controlled:mixed,0,32,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,32,temperature,0.08079390114298998,0.019528215144320953,0.15107131276820926,0.325,0.7770833333333333,1.1847455317849722
controlled:mixed,0,32,temperature+rank,0.07997923669908746,0.019306304805319096,0.1502256084946948,0.325,0.7770833333333333,
controlled:mixed,0,32,isotonic,0.0822498451031975,0.01984036860942365,0.15298813029868266,0.33666666666666667,0.7758333333333334,
controlled:mixed,0,32,temperature+token-bias,0.07457451157797222,0.018082199259666965,0.14359085581942327,0.315,0.7934166666666667,
controlled:mixed,0,32,temperature+token-bias+PCA,0.007326981494448607,0.0018270789885106915,0.04748093167670382,0.11666666666666667,0.9266666666666666,
controlled:mixed,0,64,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,0,64,temperature,0.0805445623536793,0.019475558070334624,0.15101303707632804,0.325,0.7770833333333333,1.1717488936957217
controlled:mixed,0,64,temperature+rank,0.0793469506597314,0.01918550187010251,0.14962458284946364,0.33666666666666667,0.7770833333333333,
controlled:mixed,0,64,isotonic,0.08136857961090786,0.01964987453534362,0.1519308174115988,0.33666666666666667,0.7763333333333333,
controlled:mixed,0,64,temperature+token-bias,0.07099248781517961,0.017228967589116958,0.13984602918792283,0.30833333333333335,0.7989166666666667,
controlled:mixed,0,64,temperature+token-bias+PCA,0.006172342147855964,0.001539525463370845,0.04371268456623209,0.11,0.9336666666666668,
controlled:mixed,1,2,identity,0.11000849709732845,0.02642256305244427,0.18353064011581527,0.325,0.7770833333333333,
controlled:mixed,1,2,temperature,0.08065420922047051,0.01950692938925085,0.1513886210173024,0.325,0.7770833333333333,1.1580209678314335
