source,trial,calibration_contexts,method,temperature,top_p,js,tv
micro-lm:Q4,3,16,temperature+token-bias+PCA,0.8,0.95,0.009740722365677357,0.08342166244983673
micro-lm:Q4,3,64,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,64,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,64,"tuned T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,64,temperature+rank,0.8,0.95,0.013614777000045418,0.1044459850897203
micro-lm:Q4,3,64,temperature+token-bias+PCA,0.8,0.95,0.008115659467875957,0.07451179623603821
micro-lm:Q4,4,16,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,4,16,tuned T,0.825,0.95,0.013959147036075592,0.1054549291729927
micro-lm:Q4,4,16,"tuned T,p",0.875,0.9299999999999999,0.015381104312837124,0.11309393495321274
micro-lm:Q4,4,16,temperature+rank,0.8,0.95,0.014910107313612014,0.11308432906160763
micro-lm:Q4,4,16,temperature+token-bias+PCA,0.8,0.95,0.010561298578977585,0.0879538431763649
micro-lm:Q4,4,64,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,4,64,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,4,64,"tuned T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,4,64,temperature+rank,0.8,0.95,0.013616016163146923,0.10469319152969041
micro-lm:Q4,4,64,temperature+token-bias+PCA,0.8,0.95,0.008499589748680592,0.07671689242124557
micro-lm:Q3,0,16,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,0,16,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,0,16,"tuned T,p",0.8999999999999999,0.94,0.044485777616500854,0.19548602402210236
micro-lm:Q3,0,16,temperature+rank,0.8,0.95,0.044635922063243245,0.19619997980230194
micro-lm:Q3,0,16,temperature+token-bias+PCA,0.8,0.95,0.036497265100479126,0.1813926100730896
micro-lm:Q3,0,64,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,0,64,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,0,64,"tuned T,p",0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,0,64,temperature+rank,0.8,0.95,0.04459612196886556,0.19689886389101224
micro-lm:Q3,0,64,temperature+token-bias+PCA,0.8,0.95,0.028271645307540894,0.15574517846107483
micro-lm:Q3,1,16,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,1,16,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,1,16,"tuned T,p",0.925,0.94,0.04465293884277344,0.19604554772377014
micro-lm:Q3,1,16,temperature+rank,0.8,0.95,0.04587925873541737,0.20086419196010627
micro-lm:Q3,1,16,temperature+token-bias+PCA,0.8,0.95,0.031356699764728546,0.16403114795684814
micro-lm:Q3,1,64,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,1,64,tuned T,0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,1,64,"tuned T,p",0.875,0.95,0.04417024180293083,0.19597108662128448
micro-lm:Q3,1,64,temperature+rank,0.8,0.95,0.04463636311786084,0.1969792741674069
micro-lm:Q3,1,64,temperature+token-bias+PCA,0.8,0.95,0.02814164012670517,0.15408150851726532
micro-lm:Q3,2,16,"same T,p",0.8,0.95,0.04901972413063049,0.20896124839782715
micro-lm:Q3,2,16,tuned T,0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
micro-lm:Q3,2,16,"tuned T,p",0.8999999999999999,0.95,0.044294990599155426,0.1955900639295578
