label,chunk,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q4_K_XL,4,0.013676960409492537,0.003381831023236575,0.037178235654946115,0.9628217643450538,0.9682539682539683,0.9015873015873014
Q4_K_XL,5,0.009170204180629788,0.002212703727471827,0.03156916998970758,0.9684308300102924,0.9841269841269841,0.926984126984127
Q4_K_XL,6,0.011722757538668775,0.0028651358370606907,0.039468889664238394,0.9605311103357617,0.9523809523809523,0.9349206349206348
Q4_K_XL,7,0.011476525014586514,0.002808003327825443,0.0371875567823678,0.9628124432176322,0.9682539682539683,0.9222222222222222
Q4_K_XL,8,0.008317079206227347,0.0020748352306438865,0.03242289705120504,0.967577102948795,0.9365079365079365,0.9253968253968252
Q4_K_XL,9,0.009227305358156931,0.0022813482155560638,0.03503109154706412,0.9649689084529359,1.0,0.9317460317460318
Q4_K_XL,10,0.010540030265098995,0.0026114825219727728,0.040681150656873506,0.9593188493431265,0.9365079365079365,0.9380952380952381
Q4_K_XL,11,0.012517071367082758,0.003094530121452119,0.04539285475570184,0.9546071452442981,0.9206349206349206,0.9206349206349206
Q4_K_XL,12,0.01927048427879772,0.0048171653005331634,0.05921245567338297,0.940787544326617,0.9206349206349206,0.9238095238095237
Q4_K_XL,13,0.02056281614546779,0.004790673684882432,0.04925761915393874,0.9507423808460612,0.9523809523809523,0.9142857142857141
Q4_K_XL,14,0.010314909633904343,0.0025389771935571902,0.03838451487039463,0.9616154851296054,0.9682539682539683,0.9396825396825396
Q4_K_XL,15,0.019866405920376046,0.004706999157531209,0.04255953724229281,0.9574404627577072,0.9365079365079365,0.8952380952380953
Q4_K_XL,16,0.012885056950142911,0.0031699545639497276,0.03987804214309094,0.960121957856909,0.9047619047619048,0.9015873015873014
Q4_K_XL,17,0.008733190577798283,0.0021453323303960914,0.03562007049012685,0.9643799295098732,0.9523809523809523,0.93015873015873
Q4_K_XL,18,0.010065654762644361,0.002467042395967238,0.037109199266480916,0.9628908007335191,0.9841269841269841,0.9174603174603174
Q4_K_XL,19,0.01426586314988122,0.003501255898812353,0.047345101182318536,0.9526548988176815,0.9682539682539683,0.9063492063492061
Q4_K_XL,20,0.006592139283268821,0.00160426951455094,0.02528984253322484,0.9747101574667751,1.0,0.9095238095238096
Q4_K_XL,21,0.011220342098596799,0.0027899184295215994,0.043275831372912285,0.9567241686270878,0.9841269841269841,0.9301587301587301
Q4_K_XL,22,0.017241545920547822,0.004032559368097859,0.045772693541948684,0.9542273064580513,0.9206349206349206,0.9333333333333332
Q4_K_XL,23,0.011847891807736318,0.0029902903637007297,0.036177647815040674,0.9638223521849594,0.9841269841269841,0.9317460317460318
Q4_K_XL,24,0.010078235083003366,0.002438292150307981,0.03462848853208319,0.9653715114679168,1.0,0.9190476190476189
Q4_K_XL,25,0.01333953953819637,0.0032665821913960076,0.049225981204948595,0.9507740187950514,0.9206349206349206,0.9349206349206349
Q4_K_XL,26,0.012943471395680991,0.0031730277607143384,0.044602888162213306,0.9553971118377866,0.9365079365079365,0.9253968253968253
Q4_K_XL,27,0.02251044130423993,0.005559564443429404,0.061085951244754216,0.9389140487552458,0.9365079365079365,0.9126984126984127
Q4_K_XL,28,0.01501318282842274,0.0037107765919144084,0.05289333159499432,0.9471066684050057,0.9365079365079365,0.9285714285714286
Q4_K_XL,29,0.0060887716090598865,0.0015306159723590801,0.023076472138857045,0.976923527861143,0.9841269841269841,0.9412698412698413
Q4_K_XL,30,0.011456392279161799,0.0028423698829330517,0.041044983442661186,0.9589550165573388,0.9841269841269841,0.9412698412698413
Q4_K_XL,31,0.011780803736939113,0.0028976621334502327,0.04152104219436239,0.9584789578056376,0.9682539682539683,0.9206349206349205
