layer,fold,test_chunks,raw_mse,corrected_mse,recovered,bias_rms
28,0,0+1+2+3+4+5+6+7,0.08973566562050499,0.08506623370400451,0.05203540737355927,0.06694231981479526
28,1,8+9+10+11+12+13+14+15,0.08328276989652503,0.0793406887997034,0.04733369341244875,0.06878938677881873
28,2,16+17+18+19+20+21+22+23,0.08478826175100253,0.081196221382142,0.04236483087021248,0.0697272626286085
28,3,24+25+26+27+28+29+30+31,0.08083437920505802,0.07671361920242557,0.05097781467683493,0.06852537312936745
29,0,0+1+2+3+4+5+6+7,0.11269685961217704,0.10657627757943192,0.0543101383109329,0.07655026700373119
29,1,8+9+10+11+12+13+14+15,0.10557299103932188,0.10046837723339465,0.04835151259497761,0.07879906940234513
29,2,16+17+18+19+20+21+22+23,0.10670077038213283,0.10201967183416116,0.04387127226173726,0.07982688231294242
29,3,24+25+26+27+28+29+30+31,0.10172751718421605,0.09643220189810456,0.05205391257630243,0.0786379017902756
30,0,0+1+2+3+4+5+6+7,0.13938033391700957,0.1315831333518658,0.055941899018454144,0.08612645272856029
30,1,8+9+10+11+12+13+14+15,0.1320075358436719,0.12561560406056954,0.04842096129020923,0.08884468481475032
30,2,16+17+18+19+20+21+22+23,0.13343341220922073,0.12742982570258835,0.04499312733769323,0.08972381362254478
30,3,24+25+26+27+28+29+30+31,0.1274396443939874,0.12080196843699122,0.05208485937449259,0.08864783419012566
31,0,0+1+2+3+4+5+6+7,0.1850683043900772,0.17504947578445265,0.0541358426481684,0.10086708193893341
31,1,8+9+10+11+12+13+14+15,0.17606881250808096,0.16732820967600098,0.04964310662161597,0.10298756101872289
31,2,16+17+18+19+20+21+22+23,0.1799877542617284,0.17175737860690074,0.04572742011581232,0.1039998009021231
31,3,24+25+26+27+28+29+30+31,0.1709439352048155,0.16209891656160044,0.051742219650070864,0.10313814417332189
