document,chunk,positions,baseline_js,corrected_js,js_reduction,baseline_tv,corrected_tv
low-rank-controls,16,63,0.047014013666378716,0.04598234220969653,0.001031671456682183,0.15998497971939662,0.15737261883323156
low-rank-controls,17,63,0.053420466928935005,0.05302157543141336,0.0003988914975216473,0.1460053121878041,0.1441017741130458
low-rank-controls,18,63,0.020077306269076726,0.020143764692225626,-6.645842314889974e-05,0.06967003696731158,0.06974349531625944
low-rank-controls,19,63,0.027900788929342987,0.02780192804020194,9.886088914104821e-05,0.09806628038899766,0.09493734174600196
low-rank-controls,20,63,0.08090686495785439,0.08099947390811783,-9.260895026344529e-05,0.2398818169557859,0.2385361786517832
low-rank-controls,21,63,0.06356998045174848,0.06194021183228682,0.0016297686194616662,0.1731998539633221,0.17090699688664504
low-rank-controls,22,63,0.04750509808276085,0.04474877845865512,0.0027563196241057325,0.14423541074234342,0.13733366504311562
low-rank-controls,23,63,0.0570280474928459,0.05688609001374552,0.00014195747910038248,0.17825586209812808,0.1757389809344969
low-rank-controls,24,63,0.054582621939184645,0.05397811540890308,0.0006045065302815664,0.16213934555176704,0.16021727451256343
low-rank-controls,25,63,0.03333841062091764,0.032404920580567764,0.0009334900403498783,0.10311179986548802,0.10043022562823599
low-rank-controls,26,63,0.020555616208603456,0.019767353206697452,0.000788263001906004,0.07807706946891452,0.0760040632670834
low-rank-controls,27,63,0.050666344130323046,0.04961580785346173,0.0010505362768613163,0.13839417418080663,0.13478884548835812
low-rank-controls,28,63,0.04250569195516171,0.042155950455852444,0.0003497414993092682,0.1372180860193949,0.13503169664551343
low-rank-controls,29,63,0.07863409109117966,0.07952067696504177,-0.000886585873862103,0.22092716064718035,0.22032427447774108
low-rank-controls,30,63,0.06508458165511016,0.06388894368761353,0.0011956379674966378,0.2061359276255918,0.2025901735538528
low-rank-controls,31,63,0.050723882968119895,0.04940055556122273,0.0013233274068971679,0.16150902300363496,0.15790838031246077
gap-calibration,0,63,0.023395040876320786,0.023299548122662283,9.549275365850277e-05,0.09428066993871378,0.09375713586748119
gap-calibration,1,63,0.05091747806392728,0.050316499634867624,0.0006009784290596579,0.15220473198190568,0.1483495676564792
gap-calibration,2,63,0.05182690684136654,0.051330510124061555,0.0004963967173049824,0.14805579643755679,0.145653562502019
gap-calibration,3,63,0.045671994387659995,0.043291647600228085,0.00238034678743191,0.13881501910232363,0.13314060044903603
gap-calibration,4,63,0.03759484764720712,0.03683514553048308,0.0007597021167240411,0.11002254536345837,0.108422121535691
gap-calibration,5,63,0.036125435612149655,0.03593169238477472,0.00019374322737493455,0.11187100794816775,0.11052512167583382
gap-calibration,6,63,0.027182567051597058,0.026771350305468317,0.0004112167461287411,0.0947431390365911,0.09218574681925396
gap-calibration,7,63,0.03722216828267962,0.035416115171438646,0.0018060531112409767,0.1386763464718584,0.13416306899180488
gap-calibration,8,63,0.06286857074998792,0.06214455488537039,0.0007240158646175249,0.20448013968647472,0.2026178396292149
gap-calibration,9,63,0.05476192896816111,0.05384682211193389,0.0009151068562272199,0.16423026102757643,0.16031764081073185
gap-calibration,10,63,0.04187054931978872,0.040479228288556136,0.0013913210312325869,0.14481366833760626,0.1415766074603039
gap-calibration,11,63,0.054737314829715555,0.0521448761435403,0.002592438686175258,0.17029890938410683,0.16089294389599845
