fold,test_chunks,head,strength,kl,js,tv,top1_agreement,top10_overlap
1,8+9+10+11+12+13+14+15,16,2.0,0.2059128820863277,0.04784919179327325,0.2011101829151278,0.7956349206349206,0.7595238095238096
1,8+9+10+11+12+13+14+15,32,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,32,0.25,0.2064530150736111,0.04796381946539982,0.20111032710524124,0.7896825396825397,0.758531746031746
1,8+9+10+11+12+13+14+15,32,0.5,0.20624189280137475,0.04791698249407058,0.2010389429409308,0.7896825396825397,0.7597222222222222
1,8+9+10+11+12+13+14+15,32,1.0,0.2059631863895404,0.047855143179431375,0.2009777011184818,0.7976190476190477,0.7609126984126984
1,8+9+10+11+12+13+14+15,32,1.5,0.20587659654345786,0.04783601931705746,0.20101047034270214,0.7956349206349206,0.7597222222222222
1,8+9+10+11+12+13+14+15,32,2.0,0.20598240087391903,0.04785984634225762,0.2011490423256758,0.7956349206349206,0.7595238095238096
1,8+9+10+11+12+13+14+15,64,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,64,0.25,0.20643734669467795,0.04796080845369308,0.2011051659308953,0.7896825396825397,0.758531746031746
1,8+9+10+11+12+13+14+15,64,0.5,0.20621354926569915,0.04791165562620148,0.20103017454161928,0.7896825396825397,0.7597222222222222
1,8+9+10+11+12+13+14+15,64,1.0,0.20591844228938355,0.047847230051649786,0.20096531560307446,0.7976190476190477,0.7609126984126984
1,8+9+10+11+12+13+14+15,64,1.5,0.20582732434501763,0.04782826907192444,0.20099974071533888,0.7956349206349206,0.7597222222222222
1,8+9+10+11+12+13+14+15,64,2.0,0.20594046820524237,0.04785497418745606,0.20114722171566818,0.7956349206349206,0.7595238095238096
1,8+9+10+11+12+13+14+15,128,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,128,0.25,0.20643499689855624,0.04795993843279734,0.20110414450430522,0.7896825396825397,0.758531746031746
1,8+9+10+11+12+13+14+15,128,0.5,0.20621089004210566,0.047910392296162604,0.20102908893399477,0.7896825396825397,0.7597222222222222
1,8+9+10+11+12+13+14+15,128,1.0,0.20592124726835975,0.04784661040022166,0.20096666741337396,0.7976190476190477,0.7609126984126984
1,8+9+10+11+12+13+14+15,128,1.5,0.20584367184212876,0.04783018901494619,0.20100683690254792,0.7956349206349206,0.7597222222222222
1,8+9+10+11+12+13+14+15,128,2.0,0.20597829231499937,0.0478613284906598,0.20116297473189676,0.7956349206349206,0.7595238095238096
1,8+9+10+11+12+13+14+15,256,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,256,0.25,0.20643326280369798,0.04795937647216104,0.20110307605441377,0.7896825396825397,0.758531746031746
1,8+9+10+11+12+13+14+15,256,0.5,0.20620884097231268,0.04790960256907908,0.2010275950918344,0.7896825396825397,0.7597222222222222
1,8+9+10+11+12+13+14+15,256,1.0,0.20592286498418935,0.04784638518164444,0.200966105801897,0.7976190476190477,0.7609126984126984
1,8+9+10+11+12+13+14+15,256,1.5,0.20585462752891875,0.04783186552166101,0.20100976734719883,0.7956349206349206,0.7597222222222222
1,8+9+10+11+12+13+14+15,256,2.0,0.20600422842582183,0.047866242664662016,0.20117207667838571,0.7956349206349206,0.7595238095238096
2,16+17+18+19+20+21+22+23,8,0.0,0.20689404047637558,0.04776397219135351,0.20661873681678522,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,8,0.25,0.20662668177700408,0.04769042184713206,0.20631776797228438,0.7400793650793651,0.7742063492063493
