quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,18,18,63,frozen-temperature,0.7625000000000002,0.95,0.05302829893365029,0.16711737954663852,0.719975061112686
Q2_K_XL,18,18,63,frozen-top-p,0.8,0.9312499999999999,0.054235402465103166,0.1692959569867641,0.7193407969442372
Q2_K_XL,18,18,63,same-settings,0.8,0.95,0.05433762924272626,0.17182641872574414,0.6947865034071931
Q2_K_XL,19,19,63,frozen-joint,0.72875,0.9649999999999999,0.052256896555985484,0.17591422457721026,0.699411195581919
Q2_K_XL,19,19,63,frozen-temperature,0.7625000000000002,0.95,0.052187647116148754,0.17541765420150662,0.6972548027228614
Q2_K_XL,19,19,63,frozen-top-p,0.8,0.9312499999999999,0.05216806309689428,0.17531193979084492,0.6955089131746498
Q2_K_XL,19,19,63,same-settings,0.8,0.95,0.051609894007606995,0.1748540084809065,0.6880855059657065
Q2_K_XL,20,20,63,frozen-joint,0.72875,0.9649999999999999,0.029765171536339386,0.10182041062840394,0.762970997715276
Q2_K_XL,20,20,63,frozen-temperature,0.7625000000000002,0.95,0.029339925435903882,0.1014573270129779,0.7804517152958882
Q2_K_XL,20,20,63,frozen-top-p,0.8,0.9312499999999999,0.029334238316449854,0.10111773087983093,0.790184370165553
Q2_K_XL,20,20,63,same-settings,0.8,0.95,0.030185052053263738,0.10433299978455854,0.763271001408411
Q2_K_XL,21,21,63,frozen-joint,0.72875,0.9649999999999999,0.04889404346394013,0.15850358596810746,0.7532460335687365
Q2_K_XL,21,21,63,frozen-temperature,0.7625000000000002,0.95,0.04984436665351192,0.16012324820021315,0.7370239928272471
Q2_K_XL,21,21,63,frozen-top-p,0.8,0.9312499999999999,0.05020690136330409,0.16139025046002298,0.7415355088772292
Q2_K_XL,21,21,63,same-settings,0.8,0.95,0.049093917452929806,0.1614728266048053,0.7276682924771846
Q2_K_XL,22,22,63,frozen-joint,0.72875,0.9649999999999999,0.05593950073659745,0.1653982311605461,0.7611774807164198
Q2_K_XL,22,22,63,frozen-temperature,0.7625000000000002,0.95,0.05598018152476658,0.16604493280488347,0.7757966251700557
Q2_K_XL,22,22,63,frozen-top-p,0.8,0.9312499999999999,0.05767099991706865,0.16954446953558733,0.7640405117849168
Q2_K_XL,22,22,63,same-settings,0.8,0.95,0.057336854401029765,0.16946479657457936,0.756182722807003
Q2_K_XL,23,23,63,frozen-joint,0.72875,0.9649999999999999,0.04069829022230965,0.1284319566533206,0.7734887331926147
Q2_K_XL,23,23,63,frozen-temperature,0.7625000000000002,0.95,0.03998606351004647,0.12687125438380809,0.799181121630392
Q2_K_XL,23,23,63,frozen-top-p,0.8,0.9312499999999999,0.04038340269009553,0.12769791203004027,0.7960081928394253
Q2_K_XL,23,23,63,same-settings,0.8,0.95,0.04052638548143607,0.1283752541279509,0.785982343253938
Q2_K_XL,24,24,63,frozen-joint,0.72875,0.9649999999999999,0.0332378760231511,0.10791127300924724,0.7850377914830585
Q2_K_XL,24,24,63,frozen-temperature,0.7625000000000002,0.95,0.034186755774527906,0.11018582046150215,0.7844590044610144
Q2_K_XL,24,24,63,frozen-top-p,0.8,0.9312499999999999,0.03535813948930434,0.1128131677174852,0.7838976195840599
Q2_K_XL,24,24,63,same-settings,0.8,0.95,0.03506515707658042,0.11342107939223449,0.7601960467797233
Q2_K_XL,25,25,63,frozen-joint,0.72875,0.9649999999999999,0.057767516800335476,0.18871258474176839,0.7181342118032947
Q2_K_XL,25,25,63,frozen-temperature,0.7625000000000002,0.95,0.058215038747423224,0.18853820023673867,0.7019157209173993
Q2_K_XL,25,25,63,frozen-top-p,0.8,0.9312499999999999,0.05811716280581932,0.1878689162669674,0.7031564922083442
Q2_K_XL,25,25,63,same-settings,0.8,0.95,0.05696430401359168,0.18790151400580293,0.7014361926801992
Q2_K_XL,26,26,63,frozen-joint,0.72875,0.9649999999999999,0.07131103172876119,0.19704720794799782,0.7116164537999985
Q2_K_XL,26,26,63,frozen-temperature,0.7625000000000002,0.95,0.07107139244631287,0.1961367450477112,0.7055656742896751
Q2_K_XL,26,26,63,frozen-top-p,0.8,0.9312499999999999,0.07075893522668926,0.19605386370999944,0.7075001885419687
Q2_K_XL,26,26,63,same-settings,0.8,0.95,0.07038610101869655,0.1967136606367098,0.6901239539741418
Q2_K_XL,27,27,63,frozen-joint,0.72875,0.9649999999999999,0.06169656550304757,0.18651359625870273,0.7061728390507384
Q2_K_XL,27,27,63,frozen-temperature,0.7625000000000002,0.95,0.06325650323433654,0.18734596084271157,0.704962052863243
Q2_K_XL,27,27,63,frozen-top-p,0.8,0.9312499999999999,0.06463365815949464,0.1890062718755669,0.7022705539667334
Q2_K_XL,27,27,63,same-settings,0.8,0.95,0.06153781209067102,0.1888803273202881,0.7048787732557711
Q2_K_XL,28,28,63,frozen-joint,0.72875,0.9649999999999999,0.054618906850616135,0.18864803855854367,0.689718596799406
Q2_K_XL,28,28,63,frozen-temperature,0.7625000000000002,0.95,0.054859570698768255,0.18855565505486632,0.701397942305954
Q2_K_XL,28,28,63,frozen-top-p,0.8,0.9312499999999999,0.05555161935580333,0.18981722322484804,0.7023612811219845
Q2_K_XL,28,28,63,same-settings,0.8,0.95,0.055934443471155,0.19124713634687757,0.6803065420155118
Q2_K_XL,29,29,63,frozen-joint,0.72875,0.9649999999999999,0.02902818083511813,0.08266667649149895,0.8036621067776083
Q2_K_XL,29,29,63,frozen-temperature,0.7625000000000002,0.95,0.02952151450823756,0.08335805051620045,0.8171546879621413
Q2_K_XL,29,29,63,frozen-top-p,0.8,0.9312499999999999,0.029913777342280522,0.08428031312567848,0.8263167388167387
Q2_K_XL,29,29,63,same-settings,0.8,0.95,0.030881559710010945,0.08731958749038833,0.7911346064530229
Q2_K_XL,30,30,63,frozen-joint,0.72875,0.9649999999999999,0.05235576057355733,0.17038320544515811,0.7246909018126123
Q2_K_XL,30,30,63,frozen-temperature,0.7625000000000002,0.95,0.05209635599368041,0.16924508227892812,0.7493588426586199
Q2_K_XL,30,30,63,frozen-top-p,0.8,0.9312499999999999,0.05176728988058924,0.16777478578308272,0.7582456388779311
Q2_K_XL,30,30,63,same-settings,0.8,0.95,0.05204422684896383,0.16946116462349892,0.7191475606016808
Q2_K_XL,31,31,63,frozen-joint,0.72875,0.9649999999999999,0.04875430571551006,0.14654999332768576,0.6842369870288932
Q2_K_XL,31,31,63,frozen-temperature,0.7625000000000002,0.95,0.048578769115487204,0.14578106674173522,0.7083481731137635
Q2_K_XL,31,31,63,frozen-top-p,0.8,0.9312499999999999,0.05035832305512731,0.14869234276314577,0.6900563583712633
Q2_K_XL,31,31,63,same-settings,0.8,0.95,0.050178020250602876,0.1499389556665269,0.6955107046849138
Q4_K_XL,0,0,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.00795902593167811,0.06667297976534992,0.8928670935629388
Q4_K_XL,0,0,63,frozen-temperature,0.7950000000000002,0.95,0.007958074237057378,0.0660119295593292,0.8910492344195121
Q4_K_XL,0,0,63,frozen-top-p,0.8,0.95,0.007828082327106377,0.06554575109233458,0.8904860781130908
Q4_K_XL,0,0,63,same-settings,0.8,0.95,0.007828082327106377,0.06554575109233458,0.8904860781130908
Q4_K_XL,1,1,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.005590455346955134,0.040375680293119144,0.9223175687046263
Q4_K_XL,1,1,63,frozen-temperature,0.7950000000000002,0.95,0.005398415285208825,0.040439378854537765,0.9331244645586074
Q4_K_XL,1,1,63,frozen-top-p,0.8,0.95,0.005817538483882792,0.041277899599028015,0.9241564472110171
Q4_K_XL,1,1,63,same-settings,0.8,0.95,0.005817538483882792,0.041277899599028015,0.9241564472110171
Q4_K_XL,2,2,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.004119591494571299,0.027944699048049866,0.9298557156468723
Q4_K_XL,2,2,63,frozen-temperature,0.7950000000000002,0.95,0.003945127376937307,0.027616015324989956,0.9473449550343307
Q4_K_XL,2,2,63,frozen-top-p,0.8,0.95,0.004150748126521071,0.028001463720722805,0.9405136022204271
Q4_K_XL,2,2,63,same-settings,0.8,0.95,0.004150748126521071,0.028001463720722805,0.9405136022204271
Q4_K_XL,3,3,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.006208498650858741,0.036659597064412776,0.9099027496543024
Q4_K_XL,3,3,63,frozen-temperature,0.7950000000000002,0.95,0.006340178548328815,0.03721271768685371,0.9148587561559647
Q4_K_XL,3,3,63,frozen-top-p,0.8,0.95,0.0065366680944515835,0.03771936175014291,0.908925063894008
Q4_K_XL,3,3,63,same-settings,0.8,0.95,0.0065366680944515835,0.03771936175014291,0.908925063894008
Q4_K_XL,4,4,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.005908690757115394,0.036494685987394956,0.9098790790676028
Q4_K_XL,4,4,63,frozen-temperature,0.7950000000000002,0.95,0.005714542741597619,0.03596185617858455,0.9220940146118047
Q4_K_XL,4,4,63,frozen-top-p,0.8,0.95,0.005656082976779472,0.03586497704779345,0.9250392190334178
Q4_K_XL,4,4,63,same-settings,0.8,0.95,0.005656082976779472,0.03586497704779345,0.9250392190334178
Q4_K_XL,5,5,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.00380683991141499,0.027803693543232623,0.9323751804773864
Q4_K_XL,5,5,63,frozen-temperature,0.7950000000000002,0.95,0.0036239483067350064,0.026994729163272987,0.9355914200811203
Q4_K_XL,5,5,63,frozen-top-p,0.8,0.95,0.003496476003275593,0.026801167366405327,0.9404035765643501
Q4_K_XL,5,5,63,same-settings,0.8,0.95,0.003496476003275593,0.026801167366405327,0.9404035765643501
Q4_K_XL,6,6,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.004919881075029335,0.03927829069277597,0.9084442633547163
Q4_K_XL,6,6,63,frozen-temperature,0.7950000000000002,0.95,0.005085061609168493,0.039380052082595374,0.9138308511615031
Q4_K_XL,6,6,63,frozen-top-p,0.8,0.95,0.005275278900092143,0.039772193923237775,0.9021088094220213
Q4_K_XL,6,6,63,same-settings,0.8,0.95,0.005275278900092143,0.039772193923237775,0.9021088094220213
Q4_K_XL,7,7,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.004476488382756038,0.03485772752809146,0.918742189747597
Q4_K_XL,7,7,63,frozen-temperature,0.7950000000000002,0.95,0.004772299961630432,0.03503793250355455,0.9129552616389724
Q4_K_XL,7,7,63,frozen-top-p,0.8,0.95,0.004715076648160845,0.03485774933286603,0.9157571703969085
Q4_K_XL,7,7,63,same-settings,0.8,0.95,0.004715076648160845,0.03485774933286603,0.9157571703969085
Q4_K_XL,8,8,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.0034721356896047907,0.03261783753063471,0.9515862876289806
Q4_K_XL,8,8,63,frozen-temperature,0.7950000000000002,0.95,0.0034318969432754944,0.03264574400548424,0.9518941030585375
Q4_K_XL,8,8,63,frozen-top-p,0.8,0.95,0.003355234836081287,0.0325491789891015,0.9549090652584795
Q4_K_XL,8,8,63,same-settings,0.8,0.95,0.003355234836081287,0.0325491789891015,0.9549090652584795
Q4_K_XL,9,9,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.0042297144717026855,0.03422260630343642,0.9277941592081933
Q4_K_XL,9,9,63,frozen-temperature,0.7950000000000002,0.95,0.004262848432907569,0.03346070517150183,0.9267285286389492
Q4_K_XL,9,9,63,frozen-top-p,0.8,0.95,0.004216273194215896,0.03316931033300029,0.9280723119214567
Q4_K_XL,9,9,63,same-settings,0.8,0.95,0.004216273194215896,0.03316931033300029,0.9280723119214567
Q4_K_XL,10,10,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.004931713023642447,0.04131900692092521,0.8999650517663286
Q4_K_XL,10,10,63,frozen-temperature,0.7950000000000002,0.95,0.004667450037751613,0.04018388508212945,0.9138594414184235
Q4_K_XL,10,10,63,frozen-top-p,0.8,0.95,0.004858982163972946,0.04021045213772191,0.9085458076354715
Q4_K_XL,10,10,63,same-settings,0.8,0.95,0.004858982163972946,0.04021045213772191,0.9085458076354715
Q4_K_XL,11,11,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.006098045348023463,0.04592406403805528,0.8779212716332984
Q4_K_XL,11,11,63,frozen-temperature,0.7950000000000002,0.95,0.005818551374995011,0.04495511356268137,0.887715050925306
Q4_K_XL,11,11,63,frozen-top-p,0.8,0.95,0.005866375985085994,0.045040576408306755,0.8859698844795149
Q4_K_XL,11,11,63,same-settings,0.8,0.95,0.005866375985085994,0.045040576408306755,0.8859698844795149
Q4_K_XL,12,12,63,frozen-joint,0.7812500000000001,0.9562499999999999,0.00867144405538778,0.058998839663607736,0.8707021239520216
Q4_K_XL,12,12,63,frozen-temperature,0.7950000000000002,0.95,0.008558966768933238,0.05864293908789044,0.8783743312835104
