quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap,ref_entropy
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,0.8,identity,0.9941749608824308,0.8046873352049816,0.25811196148476506,0.05548616037460226,0.22002854373369474,0.7799714562663053,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,0.8,target-temperature,0.9941749608824308,0.8046873352049816,0.2580690256891889,0.055723438537189564,0.22097282747159433,0.7790271725284057,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,0.8,target-temperature+token,0.9941749608824308,0.8046873352049816,0.2508218166783824,0.05627244640314214,0.22775252071136218,0.7722474792886378,0.8015873015873016,0.7714285714285715,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,1.0,identity,1.0358612982110136,0.9653802123190162,0.22652148365778144,0.05065667571074022,0.22076638565164453,0.7792336143483555,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,1.0,target-temperature,1.0358612982110136,0.9653802123190162,0.22465595154855572,0.04909014507005151,0.21462076137595354,0.7853792386240465,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7+0+1+2+3,6,378,126,1.0,target-temperature+token,1.0358612982110136,0.9653802123190162,0.21826703199548547,0.04938804710387518,0.22058424664070653,0.7794157533592935,0.8095238095238095,0.7706349206349208,2.6995500623874586
Q2_K_XL,3,6+7,0,1,63,126,0.8,identity,0.9828108461725497,0.8139918307938027,0.2924936707608979,0.06540213691202086,0.2361249921774373,0.7638750078225627,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0,1,63,126,0.8,target-temperature,0.9828108461725497,0.8139918307938027,0.29216556456129317,0.0659369745041592,0.2377144942864562,0.7622855057135438,0.746031746031746,0.7349206349206349,1.4737152419779185
Q2_K_XL,3,6+7,0,1,63,126,0.8,target-temperature+token,0.9828108461725497,0.8139918307938027,0.3232995489067431,0.07389262329765285,0.2560671704358455,0.7439328295641545,0.7142857142857143,0.719047619047619,1.4737152419779185
Q2_K_XL,3,6+7,0,1,63,126,1.0,identity,1.0461699078260396,0.9558676774387619,0.24630492237303003,0.05642058191272912,0.22725105274135052,0.7727489472586495,0.746031746031746,0.7349206349206349,2.2518942745684907
Q2_K_XL,3,6+7,0,1,63,126,1.0,target-temperature,1.0461699078260396,0.9558676774387619,0.24698065697293814,0.05526532925519796,0.22299508480193625,0.7770049151980638,0.746031746031746,0.7349206349206349,2.2518942745684907
