block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
17,17,63,frozen-target-temperature,1.0293006839980887,0.11418413797888514,0.02902673572197243,0.1407824706615504,0.873015873015873,0.7888888888888886
17,17,63,frozen-temperature+token,1.0293006839980887,0.12348862783428717,0.0314642514756905,0.1507391755296924,0.873015873015873,0.8015873015873015
17,17,63,frozen-pairwise-gap,1.0293006839980887,0.12271381974492492,0.0312039017457362,0.1500191153578617,0.873015873015873,0.8015873015873015
18,18,63,identity,1.0293006839980887,0.17403690477491038,0.04273622676476846,0.17944100579635455,0.8253968253968254,0.7555555555555554
18,18,63,frozen-target-temperature,1.0293006839980887,0.17114707615623564,0.04146578290986465,0.17409657969288392,0.8253968253968254,0.7555555555555554
18,18,63,frozen-temperature+token,1.0293006839980887,0.19143760380073435,0.046888568228385594,0.1884321237176951,0.8571428571428571,0.7539682539682536
18,18,63,frozen-pairwise-gap,1.0293006839980887,0.190982931363023,0.04668463295167886,0.18755040727189942,0.8571428571428571,0.7539682539682536
19,19,63,identity,1.0293006839980887,0.17047300655128828,0.038603918767925335,0.17100599072822645,0.8253968253968254,0.7539682539682542
19,19,63,frozen-target-temperature,1.0293006839980887,0.17283361039062115,0.038464329739877276,0.16975619290180902,0.8253968253968254,0.7539682539682542
19,19,63,frozen-temperature+token,1.0293006839980887,0.1929040598168554,0.04290167571693582,0.18372549410135186,0.8095238095238095,0.7396825396825399
19,19,63,frozen-pairwise-gap,1.0293006839980887,0.19347785926042252,0.04293065823274751,0.18370406097551445,0.8095238095238095,0.7396825396825399
20,20,63,identity,1.0293006839980887,0.10200570834686604,0.024134358864443425,0.11405028206773977,0.9047619047619048,0.7682539682539681
20,20,63,frozen-target-temperature,1.0293006839980887,0.10159592278052526,0.02350076667945364,0.11083728952842677,0.9047619047619048,0.7682539682539681
20,20,63,frozen-temperature+token,1.0293006839980887,0.10476827326961202,0.024518291631290354,0.11400485949443555,0.9206349206349206,0.7666666666666665
20,20,63,frozen-pairwise-gap,1.0293006839980887,0.10420109756079904,0.02432489644125723,0.11311741658377793,0.9206349206349206,0.7666666666666665
21,21,63,identity,1.0293006839980887,0.1643475445747444,0.03766042036666932,0.16486892176364923,0.8571428571428571,0.7650793650793646
21,21,63,frozen-target-temperature,1.0293006839980887,0.16481787612058799,0.037023706786797964,0.16107614359233488,0.8571428571428571,0.7650793650793646
21,21,63,frozen-temperature+token,1.0293006839980887,0.18968287360675368,0.042672282569860234,0.1784155146945362,0.8095238095238095,0.7492063492063489
21,21,63,frozen-pairwise-gap,1.0293006839980887,0.18996740440668708,0.042621634494747984,0.17809930612704963,0.8095238095238095,0.7492063492063489
22,22,63,identity,1.0293006839980887,0.21352234819300783,0.04599120350830904,0.17196261700007362,0.8888888888888888,0.7555555555555554
22,22,63,frozen-target-temperature,1.0293006839980887,0.21295054422291712,0.04508316615166027,0.16818806048198034,0.8888888888888888,0.7555555555555554
22,22,63,frozen-temperature+token,1.0293006839980887,0.2196452238950782,0.047153421971957876,0.17220872334930226,0.8412698412698413,0.7460317460317459
22,22,63,frozen-pairwise-gap,1.0293006839980887,0.2176184067706388,0.04689544868513803,0.17143863538532456,0.8412698412698413,0.7460317460317459
23,23,63,identity,1.0293006839980887,0.17707007332375882,0.03323492759395117,0.13532708672074364,0.873015873015873,0.7650793650793651
23,23,63,frozen-target-temperature,1.0293006839980887,0.18054029238201266,0.03293143425229345,0.134495912644665,0.873015873015873,0.7650793650793651
23,23,63,frozen-temperature+token,1.0293006839980887,0.18731743566181874,0.03561814092469082,0.1430866384679695,0.873015873015873,0.7587301587301586
23,23,63,frozen-pairwise-gap,1.0293006839980887,0.18602457467710976,0.03576397374030035,0.14366874218428183,0.873015873015873,0.7587301587301586
24,24,63,identity,1.0293006839980887,0.13609821443157583,0.03002998555763721,0.1292984338270074,0.9206349206349206,0.7365079365079367
24,24,63,frozen-target-temperature,1.0293006839980887,0.13695403046078553,0.029349231409817336,0.1255707154997091,0.9206349206349206,0.7365079365079367
24,24,63,frozen-temperature+token,1.0293006839980887,0.14899299051918732,0.03139285736026393,0.13418205925522675,0.9047619047619048,0.7412698412698413
24,24,63,frozen-pairwise-gap,1.0293006839980887,0.14965175454355717,0.03137307082002691,0.13395904590788457,0.9047619047619048,0.7412698412698413
25,25,63,identity,1.0293006839980887,0.18045777839339788,0.04176737411224932,0.17809529208790836,0.8095238095238095,0.7999999999999996
